sequence,date,event,event1,event2,date_formatted
426,2019-02-02,UFC Fight Night: Assunção vs. Moraes 2,UFC Fight Night: Assunção vs. Moraes 2,,"February 02, 2019"
427,2019-02-10,UFC 234: Adesanya vs. Silva,UFC 234: Adesanya vs. Silva,,"February 10, 2019"
428,2019-02-17,UFC on ESPN: Ngannou vs. Velasquez,UFC on ESPN: Ngannou vs. Velasquez,,"February 17, 2019"
429,2019-02-23,UFC Fight Night: Błachowicz vs. Santos,UFC Fight Night: Błachowicz vs. Santos,,"February 23, 2019"
430,2019-03-02,UFC 235: Jones vs. Smith,UFC 235: Jones vs. Smith,,"March 02, 2019"
431,2019-03-09,UFC Fight Night: Lewis vs. dos Santos,UFC Fight Night: Lewis vs. dos Santos,,"March 09, 2019"
432,2019-03-16,UFC Fight Night: Till vs. Masvidal,UFC Fight Night: Till vs. Masvidal,,"March 16, 2019"
433,2019-03-23,UFC Fight Night: Thompson vs. Pettis,UFC Fight Night: Thompson vs. Pettis,,"March 23, 2019"
434,2019-03-30,UFC on ESPN: Barboza vs. Gaethje,UFC on ESPN: Barboza vs. Gaethje,,"March 30, 2019"
435,2019-04-13,UFC 236: Holloway vs. Poirier 2,UFC 236: Holloway vs. Poirier 2,,"April 13, 2019"
436,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,UFC Fight Night: Overeem vs. Oleinik,,"April 20, 2019"
437,2019-04-27,UFC Fight Night: Jacaré vs. Hermansson,UFC Fight Night: Jacaré vs. Hermansson,,"April 27, 2019"
438,2019-05-04,UFC Fight Night: Iaquinta vs. Cowboy,UFC Fight Night: Iaquinta vs. Cowboy,,"May 04, 2019"
439,2019-05-11,UFC 237: Namajunas vs. Andrade,UFC 237: Namajunas vs. Andrade,,"May 11, 2019"
440,2019-05-18,UFC Fight Night: dos Anjos vs. Lee,UFC Fight Night: dos Anjos vs. Lee,,"May 18, 2019"
441,2019-06-01,UFC Fight Night: Gustafsson vs. Smith,UFC Fight Night: Gustafsson vs. Smith,,"June 01, 2019"
442,2019-06-08,UFC 238: Cejudo vs. Moraes,UFC 238: Cejudo vs. Moraes,,"June 08, 2019"
443,2019-06-22,UFC Fight Night: Moicano vs. The Korean Zombie,UFC Fight Night: Moicano vs. The Korean Zombie,,"June 22, 2019"
444,2019-06-29,UFC on ESPN: Ngannou vs. dos Santos,UFC on ESPN: Ngannou vs. dos Santos,,"June 29, 2019"
445,2019-07-06,UFC 239: Jones vs. Santos,UFC 239: Jones vs. Santos,,"July 06, 2019"
446,2019-07-13,UFC Fight Night: de Randamie vs. Ladd,UFC Fight Night: de Randamie vs. Ladd,,"July 13, 2019"
447,2019-07-20,UFC on ESPN: dos Anjos vs. Edwards,UFC on ESPN: dos Anjos vs. Edwards,,"July 20, 2019"
448,2019-07-27,UFC 240: Holloway vs. Edgar,UFC 240: Holloway vs. Edgar,,"July 27, 2019"
449,2019-08-03,UFC on ESPN: Covington vs. Lawler,UFC on ESPN: Covington vs. Lawler,,"August 03, 2019"
450,2019-08-10,UFC Fight Night: Shevchenko vs. Carmouche 2,UFC Fight Night: Shevchenko vs. Carmouche 2,,"August 10, 2019"
451,2019-08-17,UFC 241: Cormier vs. Miocic 2,UFC 241: Cormier vs. Miocic 2,,"August 17, 2019"
452,2019-08-31,UFC Fight Night: Andrade vs. Zhang,UFC Fight Night: Andrade vs. Zhang,,"August 31, 2019"
453,2019-09-07,UFC 242: Khabib vs. Poirier,UFC 242: Khabib vs. Poirier,,"September 07, 2019"
454,2019-09-14,UFC Fight Night: Cowboy vs. Gaethje,UFC Fight Night: Cowboy vs. Gaethje,,"September 14, 2019"
455,2019-09-21,UFC Fight Night: Rodríguez vs. Stephens,UFC Fight Night: Rodríguez vs. Stephens,,"September 21, 2019"
456,2019-09-28,UFC Fight Night: Hermansson vs. Cannonier,UFC Fight Night: Hermansson vs. Cannonier,,"September 28, 2019"
457,2019-10-05,UFC 243: Whittaker vs. Adesanya,UFC 243: Whittaker vs. Adesanya,,"October 05, 2019"
458,2019-10-12,UFC Fight Night: Joanna vs. Waterson,UFC Fight Night: Joanna vs. Waterson,,"October 12, 2019"
459,2019-10-18,UFC on ESPN: Reyes vs. Weidman,UFC on ESPN: Reyes vs. Weidman,,"October 18, 2019"
460,2019-10-26,UFC Fight Night: Maia vs. Askren,UFC Fight Night: Maia vs. Askren,,"October 26, 2019"
461,2019-11-02,UFC 244: Masvidal vs. Diaz,UFC 244: Masvidal vs. Diaz,,"November 02, 2019"
462,2019-11-09,UFC Fight Night: Magomedsharipov vs. Kattar,UFC Fight Night: Magomedsharipov vs. Kattar,,"November 09, 2019"
463,2019-11-16,UFC Fight Night: Błachowicz vs. Jacaré,UFC Fight Night: Błachowicz vs. Jacaré,,"November 16, 2019"
464,2019-12-07,UFC on ESPN: Overeem vs. Rozenstruik,UFC on ESPN: Overeem vs. Rozenstruik,,"December 07, 2019"
465,2019-12-14,UFC 245: Usman vs. Covington,UFC 245: Usman vs. Covington,,"December 14, 2019"
466,2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,UFC Fight Night: Edgar vs. The Korean Zombie,,"December 21, 2019"
467,2020-01-18,UFC 246: McGregor vs. Cowboy,UFC 246: McGregor vs. Cowboy,,"January 18, 2020"
468,2020-01-25,UFC Fight Night: Blaydes vs. dos Santos,UFC Fight Night: Blaydes vs. dos Santos,,"January 25, 2020"
469,2020-02-08,UFC 247: Jones vs. Reyes,UFC 247: Jones vs. Reyes,,"February 08, 2020"
470,2020-02-15,UFC Fight Night: Anderson vs. Błachowicz 2,UFC Fight Night: Anderson vs. Błachowicz 2,,"February 15, 2020"
471,2020-02-23,UFC Fight Night: Felder vs. Hooker,UFC Fight Night: Felder vs. Hooker,,"February 23, 2020"
472,2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,UFC Fight Night: Benavidez vs. Figueiredo,,"February 29, 2020"
473,2020-03-07,UFC 248: Adesanya vs. Romero,UFC 248: Adesanya vs. Romero,,"March 07, 2020"
474,2020-03-14,UFC Fight Night: Lee vs. Oliveira,UFC Fight Night: Lee vs. Oliveira,,"March 14, 2020"
475,2020-05-09,UFC 249 Ferguson vs. Gaethje,UFC 249 Ferguson vs. Gaethje,,"May 09, 2020"
